2026-05-10 13:43:19,579 | INFO     | scraper |     ✅ NEW  : Project Officer- Reintegration (Children in Street Situation Project - Dessie)
2026-05-10 13:43:19,600 | INFO     | scraper |     ✅ NEW  : General Accountant
2026-05-10 13:43:19,623 | INFO     | scraper |     ✅ NEW  : Senior EMR Coordinator
2026-05-10 13:43:19,640 | INFO     | scraper |     ✅ NEW  : Cashier
2026-05-10 13:43:19,657 | INFO     | scraper |     ✅ NEW  : Risk & Compliance Officer
2026-05-10 13:43:19,677 | INFO     | scraper |     ✅ NEW  : Junior Pharmacist
2026-05-10 13:43:19,701 | INFO     | scraper |     ✅ NEW  : Head, Transport and Deployment Department
2026-05-10 13:43:19,723 | INFO     | scraper |     ✅ NEW  : Transit and Clearance Officer I
2026-05-10 13:43:19,766 | INFO     | scraper |     ✅ NEW  : Senior Assessor I
2026-05-10 13:43:19,787 | INFO     | scraper |     ✅ NEW  : Branch Manager Grade C
2026-05-10 13:43:19,805 | INFO     | scraper |     ✅ NEW  : Maintenance Engineer (ATM Work Shop)
2026-05-10 13:43:19,820 | INFO     | scraper |     ✅ NEW  : Junior Environmental, Health and Safety Officer (Junior EHS)
2026-05-10 13:43:19,841 | INFO     | scraper |     ✅ NEW  : IT Security Officer
2026-05-10 13:43:19,861 | INFO     | scraper |     ✅ NEW  : Branch Manager II
2026-05-10 13:43:19,882 | INFO     | scraper |     ✅ NEW  : Head, General Accounts Department
2026-05-10 13:43:19,905 | INFO     | scraper |     ✅ NEW  : Senior Accountant
2026-05-10 13:43:19,927 | INFO     | scraper |     ✅ NEW  : Branch Manager Ⅰ
2026-05-10 13:43:19,945 | INFO     | scraper |     ✅ NEW  : Hotel Operations Manager
2026-05-10 13:43:22,405 | INFO     | scraper |   Web done — New: 100 | Dup: 170
2026-05-10 13:43:23,047 | INFO     | telethon.crypto.libssl | Failed to load SSL library: <class 'OSError'> (no library called "ssl" found)
2026-05-10 13:43:23,048 | INFO     | telethon.crypto.aes | cryptg module not installed and libssl not found, falling back to (slower) Python encryption
2026-05-10 13:43:23,652 | INFO     | telethon.network.mtprotosender | Connecting to 149.154.167.91:443/TcpFull...
2026-05-10 13:43:23,809 | INFO     | telethon.network.mtprotosender | Connection to 149.154.167.91:443/TcpFull complete!
2026-05-10 13:43:24,934 | INFO     | scraper |   [TG] Scanning @freelance_ethio (last 30 msgs)…
2026-05-10 13:43:25,381 | INFO     | scraper |     ✅ NEW TG: Job Title: **Junior TikTok video Editor / ቪዲዮ ኤዲተር**
2026-05-10 13:43:25,545 | INFO     | scraper |     ✅ NEW TG: Job Title: **ሴት የኮስሞቲክስ ሽያጭ ሰራተኛ**
2026-05-10 13:43:25,562 | INFO     | scraper |     ✅ NEW TG: Job Title: **Tender & Quantity Survey Enginee**
2026-05-10 13:43:25,580 | INFO     | scraper |     ✅ NEW TG: Job Title: **Sales supervisor**
2026-05-10 13:43:25,598 | INFO     | scraper |     ✅ NEW TG: Job Title: **content creator& digital marketer**
